ID,Title,ChineseTitle,Pics,Publisher,Author,Pages,ISBN,Tags,Urls
1,Introduction to Axiamatic Set Theory,公理化集合论导引,gtm001.gif,Springer-Verlag,Takeuti ; Zaring,250,3-540-05302-6,研究生数学教材|GTM001|集合论,http://d.119g.com/f/B36B8D8470C55921.html
2,Measure and Category,测度与范畴,gtm002.gif,Springer-Verlag,Oxtoby,95,0-387-90508-1,研究生数学教材|GTM002|拓扑|测度,http://d.119g.com/f/E9605214344AAB2A.html
3,Topological Vector Spaces,拓扑向量空间,gtm003.gif,Springer-Verlag,Schaefer,294,1,研究生数学教材|GTM003|拓扑|向量,http://d.119g.com/f/9F2860886C0217A7.html
4,A Course in Homological Algebra,同调代数教程,gtm004.gif,Springer-Verlag,Hilton ; Stammbach,338,1,研究生数学教材|GTM004|同调|代数,http://d.119g.com/f/D8EEBB50216D4132.html
5,Categories. for the Working Mathematician,范畴,gtm005.gif,Springer-Verlag,Mac Lane,262,1,研究生数学教材|GTM005|范畴论,http://d.119g.com/f/BE11AFF26848CCC4.html
6,Projective Planes,射影平面,gtm006.gif,Springer-Verlag,Hughs ; Piper,291,1,研究生数学教材|GTM006|几何|投影,http://d.119g.com/f/FA540AE632F85FD0.html
7,A Course in Arithmetic,算数教程,gtm007.gif,Springer-Verlag,Serre,115,1,研究生数学教材|GTM007|算数,http://d.119g.com/f/8D9AFD5ABDE4B1DE.html
8,Axiamatic Set Theory,公理化集合论,gtm008.gif,Springer-Verlag,Takeuti ; Zaring,238,1,研究生数学教材|GTM008|集合论,http://d.119g.com/f/DD4CEAEC059565CC.html
9,Introduction to Lie Algebras and Representation Theory,李代数和表示论导引,gtm009.gif,Springer-Verlag,Humphreys,169,1,研究生数学教材|GTM009|李代数|表示,http://d.119g.com/f/284426DBCC9950FB.html
10,A Course in Simple-Homotopy Theory,单同伦理论教程,gtm010.gif,Springer-Verlag,Cohen,114,1,研究生数学教材|GTM010|同伦,http://d.119g.com/f/F44100D8CD0DAF64.html
11,Functions of One Complex Variable,单变量复变函数,gtm011.gif,Springer-Verlag,J B Conway,330,1,研究生数学教材|GTM011|复变,http://d.119g.com/f/EF79BCEE23E22F31.html
12,Advanced Mathematical Analysis,高级数学分析,gtm012.gif,Springer-Verlag,Beals,243,1,研究生数学教材|GTM012|数学分析,http://d.119g.com/f/CFD745E234002197.html
13,Rings and Categories of Modules,环与模范畴,gtm013.gif,Springer-Verlag,Anderson ; Fulle,385,1,研究生数学教材|GTM013|环,http://d.119g.com/f/0A800DFE01082853.html
